text,diggCount,replyCommentTotal,createTimeISO,uniqueId,text_final,lda_topic,lda_topic_prob,lda_topic_words,bertopic_topic,bertopic_topic_prob,bertopic_topic_words,lda_best_topic,lda_best_prob,bertopic_modeling_topic,bertopic_modeling_prob
"mbg gak hanya buat anak sekolah ya gaes, ibu hamil menyusui juga dpt",3,3,2025-11-20T01:56:30.000Z,shanmarys,makan bergizi gratis tidak hanya buat anak sekolah ya gaes ibu_hamil menyusui juga dpt,5,0.8135674179412622,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.9416373451915222,0,0.8429276959327466
sehat sll bpk,0,0,2025-11-16T05:37:31.000Z,bayuaditya64,sehat_sll bpk,2,0.6070118760895992,bapak | alhamdulillah | bapak_prabowo | sehat_selalu | bapak_presiden | lanjutkan | semoga | semangat | makan bergizi | bergizi gratis | bergizi | gratis | mantap | makan | sehat,-1,0.0,No Topic,4,0.7083301391632632,5,0.2747344088667629
@sppg.depok4 buat yokkk😚,1,0,2026-01-24T01:53:31.000Z,yuknowyah,depok buat yokkk,5,0.533333238380225,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.5622741095861212,0,1.0
kl memang gitu ya tlg lbh dikontrol donk yg kerja disana,0,0,2025-11-16T01:37:39.000Z,py280832,kalau memang begitu ya tlg lebih dikontrol donk yang kerja disana,5,0.7749242439147909,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,7,0.9270607491365358,0,0.7198948687513126
di kasih MBG alhamdulilah terimakasih pak prabowo semoga sehat terus pak,0,0,2025-11-22T12:12:10.000Z,oru_kays_,di kasih makan bergizi gratis alhamdulilah terimakasih_bapak_prabowo semoga sehat_terus bapak,2,0.5615943941650314,bapak | alhamdulillah | bapak_prabowo | sehat_selalu | bapak_presiden | lanjutkan | semoga | semangat | makan bergizi | bergizi gratis | bergizi | gratis | mantap | makan | sehat,-1,0.0,No Topic,2,0.47541914679402003,0,0.658344455579627
bisakah nama mitra diganti secara sepihak tanpa ada konfirmasi terlebih dl dari pihak yayasan...mohon penjelasannya bapak🙏,0,0,2025-12-26T15:32:50.000Z,ria149563,bisakah nama mitra diganti secara sepihak tanpa ada konfirmasi terlebih dl dari pihak yayasan mohon penjelasannya bapak,5,0.7840183470586954,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,6,0.5305206498742525,0,0.381863337788484
huuhhhhh,0,0,2026-01-16T11:14:01.000Z,lina.situ,huuhhhhh,0,0.0666666666666666,omon | betul | masya_allah | ya | wowo | curhat | om | rame | ajaa | maju_terus | maju_terus bapak | uangkan_saja | p_prabowo | betul itu | semangattt,-1,0.0,No Topic,0,0.125,0,0.5915846403237289
pak presiden yg baik klo bpk mau program ini tepat sasaran cek anggota DPR mereka semua yg jd mitra gimana mau bersih korupsi,0,0,2026-02-01T05:27:07.000Z,ristina.wiyono,bapak_presiden yang baik kalau bpk mau program_ini tepat_sasaran cek anggota dpr mereka semua yang jadi mitra bagaimana mau bersih korupsi,5,0.8372751462544018,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,7,0.6133948484312531,-1,0.11688765743648466
saya baru kerja di MBG ....jangan di tutup ...,0,0,2025-12-28T04:34:37.000Z,user362810026,saya baru kerja di makan bergizi gratis jangan di tutup,5,0.8041845687399922,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.9204222043392253,0,1.0
@@ rarrrr🦖🦖,0,0,2026-01-20T11:50:46.000Z,cacaainiih,rarrrr,0,0.0666666666666666,omon | betul | masya_allah | ya | wowo | curhat | om | rame | ajaa | maju_terus | maju_terus bapak | uangkan_saja | p_prabowo | betul itu | semangattt,-1,0.0,No Topic,0,0.125,0,0.45169159473167886
mending di ganti beras sekarung🥺,0,0,2025-12-27T10:55:22.000Z,kelvsdr,mending di ganti beras sekarung,5,0.7223325441135574,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,3,0.5809892573428636,13,1.0
"lnjurkan program pak,biat yg merasa gk btuh,tnggal bilng d skolhn dn g ush d kasih,beres",0,0,2025-11-15T04:14:31.000Z,istriidamanae,lnjurkan program bapak biat yang merasa tidak btuh tnggal bilng di skolhn dn tidak ush di kasih beres,5,0.7882757829577293,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,7,0.9452908245848939,-1,0.3285714430862361
lanjutkan pak prabowo ....,0,0,2025-11-17T04:06:49.000Z,hadiprix,lanjutkan bapak_prabowo,2,0.6492566826528071,bapak | alhamdulillah | bapak_prabowo | sehat_selalu | bapak_presiden | lanjutkan | semoga | semangat | makan bergizi | bergizi gratis | bergizi | gratis | mantap | makan | sehat,-1,0.0,No Topic,5,0.7083065357071244,0,1.0
"MBG di sekolah tempat ngajar mamaku ga ada susu dalam menunya, kocaagg ga tuh. Mana ahli gizinya??? Kok ga ada 5 sempurnanya??!! @gerindra",0,0,2025-11-16T15:41:45.000Z,hadi_sill,makan bergizi gratis di sekolah tempat ngajar mamaku tidak ada susu dalam menunya kocaagg tidak itu mana ahli gizinya kenapa tidak ada sempurnanya,5,0.8300584687472826,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.7961276337458623,0,0.834416908042832
"aku dulu sekolah GK jrg makan KA ..ibu bpk tiada sjk kecil aku GK pernah ada bntuan SMA skli jjn pun aku jualan dapet 1000 bisa makan bli kue..
skrg anak ku jngan pernah mrskan sperti saya..dia sneng dpat MBG sllu membawa sisia kan untuk ku mamah ya seneng sekli pak..mah ni ada buah ya buat mamah 😭😭🥺",0,0,2025-11-27T13:34:58.000Z,akun3_hanna07semangat,saya dulu sekolah tidak jrg makan ka ibu bpk tiada sjk kecil saya tidak_pernah ada bntuan sma skli jjn pun saya jualan dapet bisa makan bli kue skrg anak saya jngan pernah mrskan seperti saya dia sneng dpat makan bergizi gratis sllu membawa sisia kan untuk saya mamah ya senang sekli bapak mah ini ada buah ya buat mamah,5,0.8813975621956409,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.9843660706134548,0,0.8133074922119357
"terutama KJP , BLT dicek ulg kmbli BPK presiden Prabowo yg dpt KJP BLT untk rkyt yg bnr2x TK mampu , miskin jgn org2x yg msh mampu Kya dpt",1,0,2026-01-09T09:29:59.000Z,user9505081520884,terutama kjp blt dicek ulg kmbli bpk_presiden prabowo yang dpt kjp blt untk rkyt yang bnrx tk mampu miskin jangan orgx yang masih mampu kya dpt,5,0.7509459548527316,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.596057662883318,5,0.2537510370081449
"makasih banyak pak Prabowo,berkat mbg sayur mayur jadi naik dan bikin petani seneng,karena orang tuaku petani hehe ❤️",0,0,2025-12-04T10:16:55.000Z,fleurdelys3012,terima kasih banyak bapak_prabowo berkat makan bergizi gratis sayur mayur jadi naik dan buat petani senang karena orang tuaku petani hehe,5,0.6639764013748976,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.6768884154842495,-1,0.5767510901017678
"knp ya klo org ini pidato, perut gua ko langsyng mual pengen muntah..🤮🥺",0,0,2026-01-21T10:29:26.000Z,alfafih80,mengapa ya kalau org ini pidato perut saya ko langsyng mual ingin muntah,5,0.7831684038633042,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.4747156093882379,-1,0.3979060541761029
Terimakasih banyak pak Prabowo 🥹 Berkat program MBG ini banyak memberikan manfaat bagi mereka yang merasakannya 😇,0,0,2025-11-17T07:41:02.000Z,ochaa4178,terimakasih banyak bapak_prabowo berkat program makan bergizi gratis ini banyak memberikan manfaat_bagi mereka yang merasakannya,5,0.5696131580763627,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.7770071327881928,0,1.0
"Sebaiknya SPPG MBG jadi tengkulak saja semua nya agar dapat harga murah langsung dari petani.
Kepala SPPG ga pake supplier dari Pedagang sekitar. Kepala SPPG langsung belanja ke pasar atau kenalan nya saja, karena ditekan agar belanja dengan harga yang paling murah. Jadi nya keberadaan SPPG MBG tidak membantu para pedagang sekitar.",0,0,2025-12-21T18:45:33.000Z,zulfie_26,sebaiknya satuan pelayanan pangan gizi makan bergizi gratis jadi tengkulak saja semua nya agar dapat harga murah langsung dari petani kepala_satuan pelayanan pangan gizi tidak pakai supplier dari pedagang sekitar kepala_satuan pelayanan pangan gizi langsung belanja ke_pasar atau kenalan nya saja karena ditekan agar belanja dengan harga yang paling murah jadi nya keberadaan satuan pelayanan pangan gizi makan bergizi gratis tidak membantu para_pedagang sekitar,5,0.8664210018721163,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,7,0.8135266447887288,0,0.5165326204011906
sehatruss pa ..sy yakin bpk presiden terbaik,0,0,2026-01-17T01:24:40.000Z,adhytamaabas,sehatruss pa saya yakin bpk_presiden terbaik,2,0.4592095410449165,bapak | alhamdulillah | bapak_prabowo | sehat_selalu | bapak_presiden | lanjutkan | semoga | semangat | makan bergizi | bergizi gratis | bergizi | gratis | mantap | makan | sehat,-1,0.0,No Topic,5,0.6142949475527749,-1,0.40833965764813196
mokel di jalan🤣,0,0,2025-02-28T06:32:49.000Z,finza514,mokel di jalan,5,0.507879823551128,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,1,0.5312510554869972,-1,0.12537971794493138
🥰🥰🥰pak moga panjang umur sehat sellu,0,0,2025-11-15T13:15:54.000Z,erny.so,bapak moga panjang_umur sehat sellu,2,0.6759267582895653,bapak | alhamdulillah | bapak_prabowo | sehat_selalu | bapak_presiden | lanjutkan | semoga | semangat | makan bergizi | bergizi gratis | bergizi | gratis | mantap | makan | sehat,-1,0.0,No Topic,5,0.8249773155180439,-1,0.7916314737705786
dari adanya program MBG bisa jadi ladang rizky UMKM juga lhoo🥰🥰🥰,0,0,2026-01-25T04:07:44.000Z,meme1236368,dari adanya_program makan bergizi gratis bisa jadi_ladang rizky umkm juga lhoo,5,0.7773199872791946,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.5391939507721812,-1,0.6380178653148064
APA ADANYA🌴 🙏,0,0,2025-11-14T22:56:01.000Z,apaadanya1204,apa adanya,5,0.6064316562123301,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.4093319330413116,-1,0.5275218187910443
itu mungkin anaknya abah,0,0,2025-11-18T06:46:24.000Z,denjakaa2,itu mungkin anaknya abah,5,0.6786237004935451,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,7,0.6249203604346308,-1,0.33252096091207534
mantappp pak prabowo,0,0,2026-01-20T13:22:14.000Z,joger325,mantappp bapak_prabowo,2,0.5333333231131291,bapak | alhamdulillah | bapak_prabowo | sehat_selalu | bapak_presiden | lanjutkan | semoga | semangat | makan bergizi | bergizi gratis | bergizi | gratis | mantap | makan | sehat,-1,0.0,No Topic,5,0.5624045530363688,0,1.0
Mereka se effort itu lohh...,1,0,2026-01-22T06:50:09.000Z,alven.de.val,mereka se effort itu lohh,5,0.6796042439045096,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,3,0.6705631779340153,-1,0.06635388990623611
"aku menghargai sih kak,walau kalok aku gak suka kukasih temanku,tapi itu menghargai kan 🤭😭😭",0,0,2026-01-22T11:06:18.000Z,azzaliap1,saya menghargai saja kakak walaupun kalok saya tidak_suka kukasih temanku tetapi itu menghargai kan,5,0.7740340643314894,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.5936681114571464,0,0.31083120193550573
"terima kasih pak presiden dengan adanya MBG sangat membantu saya, yg biasanya saya harus ngasih bekal anak kesekolah buat makan siang skrg jatah bekal itu bisa buat makan dirumah.",0,0,2025-11-15T05:18:44.000Z,seunghee909,terima_kasih_bapak presiden dengan_adanya makan bergizi gratis sangat_membantu saya yang biasanya saya harus ngasih bekal anak kesekolah buat makan_siang skrg jatah bekal itu bisa buat makan dirumah,5,0.8526684619322479,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.8564485596442862,0,0.7315584696680609
kami saat ini sdg dalam kondisi ekonomi yg kurang baik ada beberapa hal yg menjadikan perekonomian kami kurang stabil ada MBG anak q sma biasa sehari 25 rb krn skolah dr pagi mpe sore jam 4 jadi skrg dia sangu 10 rb aja.. ke save sekitar 400 rb uang kami Alhamdulillah terimakasih mbg,0,0,2025-12-04T11:04:26.000Z,rubach69,kami saat_ini sedang dalam kondisi ekonomi yang kurang baik ada beberapa hal yang menjadikan perekonomian kami kurang stabil ada makan bergizi gratis anak q sma biasa sehari rb karena skolah dari pagi mpe sore jam jadi skrg dia sangu rb saja ke save sekitar rb uang kami alhamdulillah terimakasih makan bergizi gratis,5,0.8538858133480318,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,7,0.5339561744285961,-1,0.3564537015719203
"Terimakasih pak, saya terbantu dengan adanya MBG jadi punya penghasilan. terimakasih pak Prabowo dan jajarannya",0,0,2025-12-31T07:42:27.000Z,orensyou,terimakasih bapak saya terbantu dengan_adanya makan bergizi gratis jadi punya_penghasilan terimakasih_bapak_prabowo dan jajarannya,5,0.447238475237441,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.9326317651301936,-1,0.6799317194168812
saran aja ya pak misal nya ada yang gk mau dikasih mbg mending tiap sekolh didata .jdi nanti yang mau bawa kerumaahku aja mb .aku siap menampung,0,0,2025-11-16T05:39:29.000Z,zahrahfaranisa1,saran saja ya bapak misal nya ada yang tidak mau dikasih makan bergizi gratis mending setiap sekolh didata jadi nanti yang mau bawa kerumaahku saja mb saya siap menampung,5,0.8535944872359151,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.9372961248220713,-1,0.5243540770928958
aku selalu ngehabisin MBGnya dan aku selalu makan 2/3 ompreng,1,0,2026-01-30T04:35:55.000Z,rom.aja7,saya selalu ngehabisin mbgnya dan saya selalu makan ompreng,5,0.7513174411594054,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.6538088483404204,10,0.4233735150557121
aku si selalu habis semangat ya mbg☺,0,0,2026-01-22T05:15:47.000Z,usnul365,saya si selalu_habis semangat ya makan bergizi gratis,5,0.6484639247336396,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.9027316369102096,0,1.0
kata guru ku kalo gasuka jangan dipaksa makan,0,0,2026-01-31T15:26:24.000Z,ighabibuye_,kata_guru saya kalau gasuka jangan_dipaksa makan,5,0.7245238874362243,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.8749909426005678,0,0.8160874059264931
Mantap bapak presiden RI Prabowo Subianto semoga Allah selalu bersama keluarga bapak presiden RI Prabowo Subianto amin ya Rabb,0,0,2026-01-12T00:32:27.000Z,putral.combet,mantap bapak presiden_ri prabowo_subianto semoga_allah selalu bersama keluarga bapak presiden_ri prabowo_subianto amin ya rabb,2,0.7842090273816463,bapak | alhamdulillah | bapak_prabowo | sehat_selalu | bapak_presiden | lanjutkan | semoga | semangat | makan bergizi | bergizi gratis | bergizi | gratis | mantap | makan | sehat,-1,0.0,No Topic,5,0.9416609159446317,0,1.0
"tpi gk sesuai kenyataan,",0,0,2026-01-24T04:11:20.000Z,malikalik189,tetapi tidak_sesuai kenyataan,5,0.6496072289759152,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,7,0.7812293176296587,-1,0.2179058096590819
Lanjut bpk prabowo hiraukan saja yg gk setuju,0,0,2025-11-22T09:25:33.000Z,aniyyaa_3,lanjut bpk_prabowo hiraukan saja yang tidak setuju,5,0.5718122778225828,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.6154764745426573,5,0.25807876231007776
"program MBG sangat berguna buat anak"" yg ortunya kurang mampu.yg rela nahan lapar, gak bisa jajan krna tdk ada uang jajan. dulu waktu sekolah saya pernah ngrasain gimana rasanya lapar, tp tdk ada bekal makan yg dibawa ke sekolah, krna kondisi ekonomi ortu yg pas""an. smg program MBG ini berjalan trs, jgn sampai ada anak sekolah yg merasakan kelaparan lagi.",0,0,2025-11-15T10:06:29.000Z,sitiherdiana,program makan bergizi gratis sangat berguna buat anak yang ortunya kurang_mampu yang rela nahan_lapar tidak bisa jajan karena tdk ada uang_jajan dulu_waktu sekolah saya pernah ngrasain bagaimana rasanya lapar tapi tdk ada bekal makan yang dibawa ke sekolah karena kondisi ekonomi ortu yang pas an smg program makan bergizi gratis ini berjalan terus jangan_sampai ada anak sekolah yang merasakan kelaparan lagi,5,0.8927031913722023,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.9858747272190759,0,0.7425980468681286
amin ya alloh amin,0,0,2026-01-15T00:57:11.000Z,adindaputri77570,amin ya_alloh amin,2,0.6082982389862738,bapak | alhamdulillah | bapak_prabowo | sehat_selalu | bapak_presiden | lanjutkan | semoga | semangat | makan bergizi | bergizi gratis | bergizi | gratis | mantap | makan | sehat,-1,0.0,No Topic,5,0.5313712759938738,-1,0.0705884194404812
memang benar guys..coba banding kan anak indonesia yg di adopsi orang belanda itu postur ny jd lebih tinggi besar.karena kebutuhan gizi ny terpenuhi.,0,0,2025-11-14T11:21:32.000Z,ikaadam_m,memang_benar guys coba banding kan anak indonesia yang di adopsi orang belanda itu postur nya jadi lebih tinggi besar karena kebutuhan gizi nya terpenuhi,5,0.8403058876702355,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,7,0.6352253205105387,1,0.478339055502695
gercepp,0,0,2025-11-15T11:34:13.000Z,rif_2113,gercepp,0,0.0666666666666666,omon | betul | masya_allah | ya | wowo | curhat | om | rame | ajaa | maju_terus | maju_terus bapak | uangkan_saja | p_prabowo | betul itu | semangattt,-1,0.0,No Topic,0,0.125,0,0.33675990220506385
duh yg gadapet bisa ap,0,0,2026-01-20T11:20:48.000Z,violaaa11085,duh yang gadapet bisa ap,5,0.632971516341954,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.6865026042745043,-1,0.4609749878096354
"dulu seblm ada MBG anakku bawa makanan di sekolah kadang malu mau mkn di kls temanya yg lain kaga bawa makanan jadi dia kaga mkn,jadi ada MBG seneng banget dia bisa mkn sama2 temenya di kls🥺🥹",0,0,2025-11-15T13:48:37.000Z,dacwania_jcw,dulu seblm ada makan bergizi gratis anakku bawa makanan di sekolah kadang malu mau mkn di kls temanya yang lain tidak bawa makanan jadi dia tidak mkn jadi ada makan bergizi gratis senang_sangat dia bisa mkn dengan temenya di kls,5,0.8578803094354436,makan | gratis | bergizi | yang | bergizi gratis | makan bergizi | saya | di | tidak | bapak | nya | saja | anak | itu | ada,-1,0.0,No Topic,2,0.9786560160402387,0,0.8461371600453894
